,0,1,2
0,Toxocara,0.99998933,Increased
1,Cladosporium,0.9999889,Increased
2,uncultured Selenomonas sp.,0.9999884,Increased
3,Bordetella,0.9999864,Increased
4,Poxviridae,0.9999857,Increased
5,Orthomyxoviridae,0.9999854,Increased
6,Frateuria,0.99998504,Increased
7,Edwardsiella,0.9999843,Increased
8,uncultured Veillonellaceae bacterium,0.999984,Increased
9,Spirochaeta,0.999984,Increased
10,Streptococcus constellatus,0.9999832,Increased
11,Prevotella sp. oral taxon 300,0.99998295,Increased
12,Phialophora,0.9999819,Increased
13,Polyomaviridae,0.9999815,Increased
14,Cetobacterium somerae,0.9999811,Increased
15,uncultured Prevotellaceae bacterium,0.99998087,Increased
16,Pisolithaceae,0.9999807,Increased
17,Prosthodendrium,0.9999806,Increased
18,uncultured Spirochaeta sp.,0.9999804,Increased
19,Fonsecaea,0.9999801,Increased
20,Contracaecum,0.9999795,Increased
21,Absidia,0.99997944,Increased
22,Peptoniphilaceae,0.9999788,Increased
23,Victivallales,0.99997824,Increased
24,Geotrichum,0.99997795,Increased
25,Treponema sp. oral taxon 250,0.9999779,Increased
26,Porphyromonas catoniae,0.9999774,Increased
27,Phascolarctobacterium succinatutens,0.9999764,Increased
28,uncultured Succinivibrionaceae bacterium,0.9999764,Increased
29,Capnocytophaga gingivalis,0.9999764,Increased
30,Pleistophora,0.9999759,Increased
31,Trichinella,0.99997574,Increased
32,Hymenolepis,0.9999757,Increased
33,Fusobacterium naviforme,0.9999756,Increased
34,Cladophialophora,0.9999756,Increased
35,Centrocestus,0.9999756,Increased
36,Arcanobacterium,0.9999754,Increased
37,Anaerolineae,0.9999754,Increased
38,Peptococcus sp.,0.99997497,Increased
39,Schaalia cardiffensis,0.99997485,Increased
40,Pseudogymnoascus sp. VKM F-4518 (FW-2643),0.9999745,Increased
41,Metarhizium acridum,0.9999744,Increased
42,Pneumocystis,0.9999742,Increased
43,Candidatus Regiella,0.99997395,Increased
44,Lactobacillus sanfranciscensis,0.99997383,Increased
45,Neurospora crassa,0.9999738,Increased
46,Alcaligenes,0.99997306,Increased
47,Aspergillus flavus,0.99997276,Increased
48,uncultured Corynebacteriaceae bacterium,0.9999727,Increased
49,Pisolithus,0.9999726,Increased
50,Neisseria oralis,0.99997187,Increased
51,Desulfobacterales,0.9999716,Increased
52,Fretibacterium,0.99997115,Increased
53,Erysiphe necator,0.9999708,Increased
54,Piscirickettsiaceae,0.9999707,Increased
55,Anoxybacillus,0.99997044,Increased
56,Listeria sp.,0.9999703,Increased
57,Selenomonas noxia,0.9999697,Increased
58,Treponema lecithinolyticum,0.9999696,Increased
59,Actinomyces radicidentis,0.9999695,Increased
60,Cardiobacteriales,0.9999691,Increased
61,Moniliophthora perniciosa,0.99996907,Increased
62,Atopobium minutum,0.9999686,Increased
63,Colletotrichum higginsianum,0.9999685,Increased
64,Lachnoanaerobaculum umeaense,0.99996805,Increased
65,Capnocytophaga sputigena,0.99996793,Increased
66,Aspergillus ochraceoroseus,0.9999679,Increased
67,Campylobacter curvus,0.99996763,Increased
68,Proteobacteria bacterium CAG:139,0.9999674,Increased
69,Salmonella enterica,0.99996734,Increased
70,Marasmiaceae,0.9999672,Increased
71,Clostridium hylemonae,0.99996704,Increased
72,Silene,0.99996674,Increased
73,Aspergillus versicolor,0.9999666,Increased
74,Olsenella profusa,0.9999666,Increased
75,Chaetomiaceae,0.99996644,Increased
76,Rhodotorula sp. JG-1b,0.9999659,Increased
77,Talaromyces islandicus,0.99996567,Increased
78,Fusobacterium nucleatum subsp. polymorphum,0.9999653,Increased
79,Pelomonas,0.9999653,Increased
80,Thermaerobacter,0.9999649,Increased
81,Trichococcus,0.9999649,Increased
82,Arthrobotrys oligospora,0.9999646,Increased
83,Chaetomium globosum,0.99996424,Increased
84,Pirellulaceae,0.9999641,Increased
85,Dipylidium,0.99996376,Increased
86,Tannerella forsythia,0.9999636,Increased
87,Candidatus Regiella insecticola,0.99996275,Increased
88,Phaeobacter,0.9999624,Increased
89,Anoxybacillus kestanbolensis,0.99996233,Increased
90,Debaryomyces fabryi,0.9999622,Increased
91,Lactobacillus johnsonii,0.999962,Increased
92,Rhodotorula graminis,0.999962,Increased
93,Acremonium chrysogenum,0.9999619,Increased
94,Erysiphaceae,0.9999618,Increased
95,Rhodanobacter,0.9999615,Increased
96,Citrobacter farmeri,0.99996114,Increased
97,Porphyromonas asaccharolytica,0.9999611,Increased
98,Blumeria graminis,0.9999605,Increased
99,Thielaviopsis,0.9999604,Increased
100,Thiotrichales,0.9999597,Increased
101,Crepidotus,0.9999597,Increased
102,Desulfovibrio vietnamensis,0.99995935,Increased
103,Mogibacterium timidum,0.99995834,Increased
104,Prevotella buccae,0.9999582,Increased
105,Prevotella buccalis,0.99995816,Increased
106,Desulfovibrio longreachensis,0.99995804,Increased
107,Clostridia bacterium UC5.1-2D9,0.9999577,Increased
108,Prochlorococcus,0.9999577,Increased
109,Fusobacterium gonidiaformans,0.9999575,Increased
110,Prevotella sp. oral taxon 304,0.9999573,Increased
111,Cardiobacteriaceae,0.99995726,Increased
112,SR1 bacterium oral taxon 874,0.99995697,Increased
113,Candidatus Tremblaya,0.9999562,Increased
114,Serratia marcescens,0.99995583,Increased
115,Lachnospiraceae bacterium 2_1_58FAA,0.99995565,Increased
116,Basidioascus,0.99995565,Increased
117,Pseudogymnoascus sp. VKM F-4520 (FW-2644),0.99995565,Increased
118,Firmicutes bacterium CAG:240,0.9999553,Increased
119,Firmicutes bacterium CAG:102,0.9999553,Increased
120,Tyzzerella,0.9999553,Increased
121,Trichosporonales,0.9999551,Increased
122,Aspergillus sydowii,0.9999546,Increased
123,Bacteroides pyogenes,0.99995446,Increased
124,Candidatus Portiera aleyrodidarum,0.9999542,Increased
125,Arthrobacter,0.9999541,Increased
126,Moniliophthora,0.9999541,Increased
127,Pseudeurotiaceae,0.9999536,Increased
128,Fusobacterium nucleatum subsp. nucleatum,0.99995327,Increased
129,Lachnospiraceae bacterium 5_1_63FAA,0.9999516,Increased
130,Victivallaceae,0.9999516,Increased
131,Streptococcus lutetiensis,0.9999513,Increased
132,Aspergillus rambellii,0.999951,Increased
133,Bombiscardovia,0.99994993,Increased
134,Malasseziaceae,0.9999495,Increased
135,Kwoniella mangrovensis,0.9999495,Increased
136,Malasseziomycetes,0.99994946,Increased
137,Fusobacterium nucleatum subsp. animalis,0.9999491,Increased
138,Succiniclasticum,0.999949,Increased
139,[Eubacterium] yurii,0.9999482,Increased
140,Oenococcus oeni,0.99994755,Increased
141,Candidatus Midichloriaceae,0.999947,Increased
142,Parastagonospora nodorum,0.9999469,Increased
143,Eubacterium ramulus,0.99994683,Increased
144,Treponema socranskii,0.99994636,Increased
145,Fretibacterium fastidiosum,0.99994504,Increased
146,Campylobacter showae,0.999945,Increased
147,Firmicutes bacterium CAG:110,0.9999427,Increased
148,Fusobacterium nucleatum subsp. vincentii,0.9999415,Increased
149,Planctomyces,0.99994093,Increased
150,[Candida] glabrata,0.9999404,Increased
151,Shigella boydii,0.99994016,Increased
152,Exobasidiomycetes,0.99994016,Increased
153,Alicyclobacillus,0.9999401,Increased
154,Fusobacterium necrophorum,0.99993914,Increased
155,Geobacteraceae,0.9999374,Increased
156,Sphingomonas paucimobilis,0.99993676,Increased
157,Streptococcus alactolyticus,0.9999353,Increased
158,Metschnikowiaceae,0.99993527,Increased
159,Psathyrellaceae,0.999935,Increased
160,Metarhizium rileyi,0.99993455,Increased
161,Leptothrix,0.99993384,Increased
162,Thielaviopsis punctulata,0.99993384,Increased
163,Aggregatibacter aphrophilus,0.9999337,Increased
164,Geobacter,0.9999333,Increased
165,Fusobacterium sp. oral taxon 203,0.9999331,Increased
166,Grosmannia clavigera,0.99993294,Increased
167,Centipeda periodontii,0.9999329,Increased
168,Rhizobiaceae,0.999929,Increased
169,Shigella flexneri,0.99992895,Increased
170,Staphylococcus sciuri,0.9999277,Increased
171,Sterigmatomyces elviae,0.99992466,Increased
172,Candidatus Blochmannia,0.9999234,Increased
173,Plesiomonas shigelloides,0.9999217,Increased
174,Veillonella sp. oral taxon 158,0.99992025,Increased
175,Lactobacillus iners,0.9999199,Increased
176,Trichosporonaceae,0.999919,Increased
177,Neisseria subflava,0.99991876,Increased
178,Dioszegia,0.9999164,Increased
179,Shigella sp. PAMC 28760,0.99991536,Increased
180,Myxococcales,0.9999127,Increased
181,Diaporthe ampelina,0.99991214,Increased
182,Weissella viridescens,0.99990916,Increased
183,Blautia luti,0.9999081,Increased
184,Kwoniella heveanensis,0.99990416,Increased
185,Shigella dysenteriae,0.9999025,Increased
186,Hymenochaete,0.9998979,Increased
187,Abiotrophia defectiva,0.99989754,Increased
188,Peptacetobacter hiranonis,0.99989724,Increased
189,Entylomatales,0.9998964,Increased
190,Ophiostoma piceae,0.99989426,Increased
191,Cortinariaceae,0.99989355,Increased
192,Eubacterium oxidoreducens,0.9998914,Increased
193,Anaerotignum lactatifermentans,0.9998911,Increased
194,Megamonas funiformis,0.99989086,Increased
195,Enterocloster citroniae,0.99988985,Increased
196,Psychrobacter pulmonis,0.99988616,Increased
197,Paucibacter,0.99988544,Increased
198,Bacteroides clarus,0.999885,Increased
199,Coprobacillus sp.,0.99988204,Increased
200,Clostridium phoceensis,0.99988085,Increased
