,0,1
0,Pseudogymnoascus sp. VKM F-4518 (FW-2643),0.9999651
1,Neurospora crassa,0.9999641
2,Pisolithus,0.99996126
3,Victivallales,0.9999609
4,Fusobacterium naviforme,0.99996054
5,Cetobacterium somerae,0.9999603
6,Anaerolineae,0.9999602
7,Actinomyces radicidentis,0.9999598
8,Salmonella enterica,0.9999579
9,Schaalia cardiffensis,0.9999577
10,Prevotella sp. oral taxon 300,0.9999571
11,Aspergillus versicolor,0.99995625
12,Treponema sp. oral taxon 250,0.99995565
13,Olsenella profusa,0.9999542
14,Phascolarctobacterium succinatutens,0.99995375
15,Cardiobacteriales,0.99995244
16,Tannerella forsythia,0.99995184
17,Thielaviopsis,0.9999509
18,Peptoniphilaceae,0.99995065
19,Neisseria oralis,0.99995005
20,Desulfobacterales,0.9999498
21,Lactobacillus sanfranciscensis,0.9999478
22,Fretibacterium,0.99994767
23,Fusobacterium nucleatum subsp. polymorphum,0.9999467
24,Marasmiaceae,0.999946
25,Lachnoanaerobaculum umeaense,0.9999449
26,Erysiphe necator,0.99994385
27,Candidatus Regiella,0.99994373
28,Capnocytophaga sputigena,0.9999436
29,Candidatus Regiella insecticola,0.99994314
30,Pisolithaceae,0.9999428
31,Fusobacterium nucleatum subsp. nucleatum,0.99994206
32,Cardiobacteriaceae,0.99994135
33,Citrobacter farmeri,0.9999409
34,Pseudeurotiaceae,0.9999409
35,Talaromyces islandicus,0.9999399
36,Fusobacterium nucleatum subsp. animalis,0.99993896
37,Rhodotorula graminis,0.9999387
38,Trichococcus,0.9999387
39,Anoxybacillus kestanbolensis,0.99993825
40,Rhodotorula sp. JG-1b,0.99993813
41,Pirellulaceae,0.9999372
42,Desulfovibrio vietnamensis,0.9999367
43,Chaetomiaceae,0.9999366
44,Campylobacter curvus,0.99993646
45,Aspergillus rambellii,0.9999362
46,Debaryomyces fabryi,0.99993575
47,Piscirickettsiaceae,0.99993527
48,Aspergillus ochraceoroseus,0.99993455
49,Aspergillus flavus,0.9999331
50,Candidatus Portiera aleyrodidarum,0.999933
51,Phaeobacter,0.99993217
52,Candidatus Tremblaya,0.999931
53,Treponema lecithinolyticum,0.9999304
54,Fusobacterium nucleatum subsp. vincentii,0.9999298
55,Fusobacterium gonidiaformans,0.9999292
56,Anoxybacillus,0.9999286
57,Lactobacillus johnsonii,0.99992824
58,Moniliophthora,0.99992764
59,Moniliophthora perniciosa,0.9999254
60,Atopobium minutum,0.99992514
61,Colletotrichum higginsianum,0.9999248
62,Porphyromonas asaccharolytica,0.99992454
63,Candidatus Midichloriaceae,0.99992406
64,Prevotella buccae,0.99992347
65,Desulfovibrio longreachensis,0.9999219
66,Selenomonas noxia,0.99992
67,Mogibacterium timidum,0.99992
68,Erysiphaceae,0.99991846
69,Rhodanobacter,0.99991786
70,Thielaviopsis punctulata,0.99991727
71,SR1 bacterium oral taxon 874,0.9999143
72,Succiniclasticum,0.999913
73,Malasseziaceae,0.99991035
74,Kwoniella mangrovensis,0.9999089
75,Acremonium chrysogenum,0.9999088
76,Victivallaceae,0.99990666
77,Malasseziomycetes,0.9999063
78,Centipeda periodontii,0.99990475
79,Blumeria graminis,0.99990356
80,Candidatus Blochmannia,0.99990344
81,Metarhizium rileyi,0.9999032
82,Prevotella sp. oral taxon 304,0.9999018
83,Prevotella buccalis,0.9999007
84,Fretibacterium fastidiosum,0.9999007
85,Streptococcus lutetiensis,0.99990034
86,Myxococcales,0.9998975
87,[Eubacterium] yurii,0.999897
88,Thiotrichales,0.999897
89,Blautia luti,0.9998938
90,Pseudogymnoascus sp. VKM F-4520 (FW-2644),0.99989355
91,Aggregatibacter aphrophilus,0.9998908
92,Metarhizium acridum,0.9998902
93,Streptococcus alactolyticus,0.9998895
94,Serratia marcescens,0.99988735
95,Fusobacterium sp. oral taxon 203,0.9998807
96,Psychrobacter pulmonis,0.99987483
97,Eubacterium oxidoreducens,0.9998746
98,Eggerthella sp. YY7918,0.9998716
99,Coprobacillus sp.,0.9998703
100,Clostridium phoceensis,0.99987006
101,Leptothrix,0.999869
102,Methylotenera,0.9998667
103,Planctomyces,0.9998641
104,Plesiomonas shigelloides,0.9998634
105,Streptococcus sp. oral clone DP009,0.9998567
106,Slackia heliotrinireducens,0.99985576
107,Ophiostoma piceae,0.9998553
108,Diaporthe ampelina,0.9998524
109,Blautia faecis,0.99985206
110,Campylobacter showae,0.99985194
111,Filobasidium,0.99984837
