,0,1
0,Toxocara,0.99998933
1,Cladosporium,0.9999889
2,uncultured Selenomonas sp.,0.9999884
3,Bordetella,0.9999864
4,Poxviridae,0.9999857
5,Orthomyxoviridae,0.9999854
6,Frateuria,0.99998504
7,Edwardsiella,0.9999843
8,uncultured Veillonellaceae bacterium,0.999984
9,Spirochaeta,0.999984
10,Streptococcus constellatus,0.9999832
11,Prevotella sp. oral taxon 300,0.99998295
12,Phialophora,0.9999819
13,Polyomaviridae,0.9999815
14,Cetobacterium somerae,0.9999811
15,uncultured Prevotellaceae bacterium,0.99998087
16,Pisolithaceae,0.9999807
17,Prosthodendrium,0.9999806
18,uncultured Spirochaeta sp.,0.9999804
19,Fonsecaea,0.9999801
20,Contracaecum,0.9999795
21,Absidia,0.99997944
22,Peptoniphilaceae,0.9999788
23,Victivallales,0.99997824
24,Geotrichum,0.99997795
25,Treponema sp. oral taxon 250,0.9999779
26,Porphyromonas catoniae,0.9999774
27,Phascolarctobacterium succinatutens,0.9999764
28,uncultured Succinivibrionaceae bacterium,0.9999764
29,Capnocytophaga gingivalis,0.9999764
30,Pleistophora,0.9999759
31,Trichinella,0.99997574
32,Hymenolepis,0.9999757
33,Fusobacterium naviforme,0.9999756
34,Cladophialophora,0.9999756
35,Centrocestus,0.9999756
36,Arcanobacterium,0.9999754
37,Anaerolineae,0.9999754
38,Peptococcus sp.,0.99997497
39,Schaalia cardiffensis,0.99997485
40,Pseudogymnoascus sp. VKM F-4518 (FW-2643),0.9999745
41,Metarhizium acridum,0.9999744
42,Pneumocystis,0.9999742
43,Candidatus Regiella,0.99997395
44,Lactobacillus sanfranciscensis,0.99997383
45,Neurospora crassa,0.9999738
46,Alcaligenes,0.99997306
47,Aspergillus flavus,0.99997276
48,uncultured Corynebacteriaceae bacterium,0.9999727
49,Pisolithus,0.9999726
50,Neisseria oralis,0.99997187
51,Desulfobacterales,0.9999716
52,Fretibacterium,0.99997115
53,Erysiphe necator,0.9999708
54,Piscirickettsiaceae,0.9999707
55,Anoxybacillus,0.99997044
56,Listeria sp.,0.9999703
57,Selenomonas noxia,0.9999697
58,Treponema lecithinolyticum,0.9999696
59,Actinomyces radicidentis,0.9999695
60,Cardiobacteriales,0.9999691
61,Moniliophthora perniciosa,0.99996907
62,Atopobium minutum,0.9999686
63,Colletotrichum higginsianum,0.9999685
64,Lachnoanaerobaculum umeaense,0.99996805
65,Capnocytophaga sputigena,0.99996793
66,Aspergillus ochraceoroseus,0.9999679
67,Campylobacter curvus,0.99996763
68,Proteobacteria bacterium CAG:139,0.9999674
69,Salmonella enterica,0.99996734
70,Marasmiaceae,0.9999672
71,Clostridium hylemonae,0.99996704
72,Silene,0.99996674
73,Aspergillus versicolor,0.9999666
74,Olsenella profusa,0.9999666
75,Chaetomiaceae,0.99996644
76,Rhodotorula sp. JG-1b,0.9999659
77,Talaromyces islandicus,0.99996567
78,Fusobacterium nucleatum subsp. polymorphum,0.9999653
79,Pelomonas,0.9999653
80,Thermaerobacter,0.9999649
81,Trichococcus,0.9999649
82,Arthrobotrys oligospora,0.9999646
83,Chaetomium globosum,0.99996424
84,Pirellulaceae,0.9999641
85,Dipylidium,0.99996376
86,Tannerella forsythia,0.9999636
87,Candidatus Regiella insecticola,0.99996275
88,Phaeobacter,0.9999624
89,Anoxybacillus kestanbolensis,0.99996233
90,Debaryomyces fabryi,0.9999622
91,Lactobacillus johnsonii,0.999962
92,Rhodotorula graminis,0.999962
93,Acremonium chrysogenum,0.9999619
94,Erysiphaceae,0.9999618
95,Rhodanobacter,0.9999615
96,Citrobacter farmeri,0.99996114
97,Porphyromonas asaccharolytica,0.9999611
98,Blumeria graminis,0.9999605
99,Thielaviopsis,0.9999604
100,Thiotrichales,0.9999597
101,Crepidotus,0.9999597
102,Desulfovibrio vietnamensis,0.99995935
103,Mogibacterium timidum,0.99995834
104,Prevotella buccae,0.9999582
105,Prevotella buccalis,0.99995816
106,Desulfovibrio longreachensis,0.99995804
107,Clostridia bacterium UC5.1-2D9,0.9999577
108,Prochlorococcus,0.9999577
109,Fusobacterium gonidiaformans,0.9999575
110,Prevotella sp. oral taxon 304,0.9999573
111,Cardiobacteriaceae,0.99995726
112,SR1 bacterium oral taxon 874,0.99995697
113,Candidatus Tremblaya,0.9999562
114,Serratia marcescens,0.99995583
115,Lachnospiraceae bacterium 2_1_58FAA,0.99995565
116,Basidioascus,0.99995565
117,Pseudogymnoascus sp. VKM F-4520 (FW-2644),0.99995565
118,Firmicutes bacterium CAG:240,0.9999553
119,Firmicutes bacterium CAG:102,0.9999553
120,Tyzzerella,0.9999553
121,Trichosporonales,0.9999551
122,Aspergillus sydowii,0.9999546
123,Bacteroides pyogenes,0.99995446
124,Candidatus Portiera aleyrodidarum,0.9999542
125,Arthrobacter,0.9999541
126,Moniliophthora,0.9999541
127,Pseudeurotiaceae,0.9999536
128,Fusobacterium nucleatum subsp. nucleatum,0.99995327
129,Lachnospiraceae bacterium 5_1_63FAA,0.9999516
130,Victivallaceae,0.9999516
131,Streptococcus lutetiensis,0.9999513
132,Aspergillus rambellii,0.999951
133,Bombiscardovia,0.99994993
134,Malasseziaceae,0.9999495
135,Kwoniella mangrovensis,0.9999495
136,Malasseziomycetes,0.99994946
137,Fusobacterium nucleatum subsp. animalis,0.9999491
138,Succiniclasticum,0.999949
139,[Eubacterium] yurii,0.9999482
140,Oenococcus oeni,0.99994755
141,Candidatus Midichloriaceae,0.999947
142,Parastagonospora nodorum,0.9999469
143,Eubacterium ramulus,0.99994683
144,Treponema socranskii,0.99994636
145,Fretibacterium fastidiosum,0.99994504
146,Campylobacter showae,0.999945
147,Firmicutes bacterium CAG:110,0.9999427
148,Fusobacterium nucleatum subsp. vincentii,0.9999415
149,Planctomyces,0.99994093
150,[Candida] glabrata,0.9999404
151,Shigella boydii,0.99994016
152,Exobasidiomycetes,0.99994016
153,Alicyclobacillus,0.9999401
154,Fusobacterium necrophorum,0.99993914
155,Geobacteraceae,0.9999374
156,Sphingomonas paucimobilis,0.99993676
157,Streptococcus alactolyticus,0.9999353
158,Metschnikowiaceae,0.99993527
159,Psathyrellaceae,0.999935
160,Metarhizium rileyi,0.99993455
161,Leptothrix,0.99993384
162,Thielaviopsis punctulata,0.99993384
163,Aggregatibacter aphrophilus,0.9999337
164,Geobacter,0.9999333
165,Fusobacterium sp. oral taxon 203,0.9999331
166,Grosmannia clavigera,0.99993294
167,Centipeda periodontii,0.9999329
168,Rhizobiaceae,0.999929
169,Shigella flexneri,0.99992895
170,Staphylococcus sciuri,0.9999277
171,Sterigmatomyces elviae,0.99992466
172,Candidatus Blochmannia,0.9999234
173,Plesiomonas shigelloides,0.9999217
174,Veillonella sp. oral taxon 158,0.99992025
175,Lactobacillus iners,0.9999199
176,Trichosporonaceae,0.999919
177,Neisseria subflava,0.99991876
178,Dioszegia,0.9999164
179,Shigella sp. PAMC 28760,0.99991536
180,Myxococcales,0.9999127
181,Diaporthe ampelina,0.99991214
182,Weissella viridescens,0.99990916
183,Blautia luti,0.9999081
184,Kwoniella heveanensis,0.99990416
185,Shigella dysenteriae,0.9999025
186,Hymenochaete,0.9998979
187,Abiotrophia defectiva,0.99989754
188,Peptacetobacter hiranonis,0.99989724
189,Entylomatales,0.9998964
190,Ophiostoma piceae,0.99989426
191,Cortinariaceae,0.99989355
192,Eubacterium oxidoreducens,0.9998914
193,Anaerotignum lactatifermentans,0.9998911
194,Megamonas funiformis,0.99989086
195,Enterocloster citroniae,0.99988985
196,Psychrobacter pulmonis,0.99988616
197,Paucibacter,0.99988544
198,Bacteroides clarus,0.999885
199,Coprobacillus sp.,0.99988204
200,Clostridium phoceensis,0.99988085
201,Escherichia albertii,0.99988055
202,Escherichia fergusonii,0.9998796
203,Eggerthella sp. YY7918,0.9998786
204,Methylotenera,0.9998786
205,Streptococcus sp. oral clone DP009,0.9998733
206,Gymnopilus,0.99987173
207,Slackia heliotrinireducens,0.999871
208,Blautia faecis,0.99986887
209,Psathyrella,0.9998672
210,Filobasidium,0.99986374
211,Lachnospiraceae bacterium 3_1_57FAA_CT1,0.99986315
212,Lachnospiraceae bacterium A2,0.99985987
213,Enterorhabdus mucosicola,0.9998564
214,Enterorhabdus caecimuris,0.99985445
215,Clostridium sp. ATCC 29733,0.99985296
216,Holdemania massiliensis,0.9998456
217,Entylomataceae,0.99984443
218,Anaeromassilibacillus senegalensis,0.9998438
219,Enorma massiliensis,0.9998432
220,Gallionellaceae,0.9998424
221,Bifidobacterium catenulatum subsp. kashiwanohense,0.99984205
222,Neisseria mucosa,0.99983925
223,Hanseniaspora,0.9998385
224,Helicobacter canadensis,0.9998379
225,Clostridium disporicum,0.9998374
226,Enterocloster lavalensis,0.9998365
