,0,1,2
0,Entylomataceae,0.9999288,Increased
1,Fluviicola,0.99992424,Increased
2,[Candida] glabrata,0.99991006,Increased
3,Bacteroides pyogenes,0.99990994,Increased
4,Trichosporonales,0.9998991,Increased
5,Eubacterium ramulus,0.9998951,Increased
6,Escherichia albertii,0.9998921,Increased
7,Shigella boydii,0.99989015,Increased
8,Pelomonas,0.99987215,Increased
9,Bacteroides-like sp. oral clone AU126,0.9998716,Increased
10,Shigella dysenteriae,0.9998705,Increased
11,Thermaerobacter,0.99986166,Increased
12,Shigella flexneri,0.99985313,Increased
13,Weissella viridescens,0.999853,Increased
14,Holophagae,0.99985296,Increased
15,Oenococcus oeni,0.9998511,Increased
16,Psathyrellaceae,0.99983764,Increased
17,Entylomatales,0.99983764,Increased
18,Hymenochaete,0.9998319,Increased
19,Anaerotignum lactatifermentans,0.9998306,Increased
20,Actinobaculum massiliense,0.9998247,Increased
21,Metschnikowiaceae,0.99982065,Increased
22,Prevotella scopos,0.99980736,Increased
23,Shigella sp. PAMC 28760,0.9998014,Increased
24,Actinomyces sp. oral taxon 877,0.9997987,Increased
25,Exobasidiomycetes,0.9997945,Increased
26,Sphingomonas paucimobilis,0.9997927,Increased
27,Simonsiella,0.9997741,Increased
28,Veillonella sp. oral taxon 158,0.9997735,Increased
29,Megamonas funiformis,0.9997706,Increased
30,Paucibacter,0.99976736,Increased
31,Propionicimonas,0.9997658,Increased
32,Syntrophus,0.99976176,Increased
33,Truepera,0.9997613,Increased
34,Arthrobacter,0.9997595,Increased
35,Opitutales,0.9997531,Increased
36,Enterocloster citroniae,0.9997529,Increased
37,Cortinariaceae,0.9997514,Increased
38,Listeria sp.,0.9997427,Increased
39,Shigella sonnei,0.99974126,Increased
40,Novispirillum,0.999726,Increased
41,Bergeyella zoohelcum,0.9997233,Increased
42,Abiotrophia defectiva,0.9997208,Increased
43,Actinobaculum,0.9997071,Increased
44,Actinotalea,0.999696,Increased
45,Alicyclobacillus,0.9996946,Increased
