,0,1
0,Abiotrophia,0.9926311
1,Erysipelotrichia,0.9868658
2,Sphingomonas azotifigens,0.98121053
3,Pseudomonas aeruginosa,0.9702049
4,Erysipelatoclostridium,0.9693105
5,Cutibacterium acnes,0.96806115
6,Flavonifractor,0.9654835
7,Limosilactobacillus fermentum,0.9641982
8,Raoultella,0.95960754
9,Schlegelella,0.9586215
10,Negativicutes,0.94447255
11,Erysipelotrichales,0.93621397
12,Brevibacillus,0.93422365
13,Candidatus Saccharibacteria,0.9245211
14,Lachnobacterium,0.91375846
15,Anaerotruncus colihominis,0.91080195
16,Methanobrevibacter smithii,0.90449494
17,Mycoplasma,0.8968074
18,Methanobacteria,0.88961947
19,Barnesiellaceae,0.8846032
20,Streptococcus mutans,0.87812656
21,Facklamia,0.8775474
22,Atopobiaceae,0.8707106
23,Candida,0.8700575
24,Actinomycetales,0.86690634
25,Sarcina,0.85708773
26,Parabacteroides merdae,0.85496676
27,Lactobacillus coleohominis,0.85360867
28,Aquabacterium,0.84105796
29,Aneurinibacillus,0.828409
30,Holdemanella,0.8245522
31,Bergeyella,0.8170074
32,Lactobacillus jensenii,0.8167349
33,Pediococcus,0.8117239
34,Methylobacterium radiotolerans,0.80134547
35,Mycoplana,0.7971135
36,Johnsonella ignava,0.7804228
37,Candida albicans,0.7537339
38,Chloroflexi,0.74353546
39,Thaumarchaeota,0.74284554
40,Odoribacter splanchnicus,0.73971677
41,Verrucomicrobia,0.732202
42,Catonella morbi,0.73078007
43,Roseomonas,0.7217978
44,Planococcaceae,0.7184292
45,Ralstonia,0.71597034
46,Prevotella salivae,0.708134
47,Pandoraea,0.70789534
48,Collinsella intestinalis,0.7034758
49,Centipeda,0.687354
50,Achromobacter,0.68596554
51,Phenylobacterium,0.6841316
52,Cloacibacterium,0.67277795
53,Thermus,0.668063
54,Burkholderia,0.65740216
55,Rhodobacter,0.6563311
56,Gordonibacter,0.6542244
57,Clostridium sp.,0.6523441
58,Gemmiger,0.64709884
59,Bifidobacterium longum,0.6260565
60,Syntrophomonadaceae,0.6258416
61,Retroviridae,0.61389744
62,Cutibacterium,0.5938362
63,Helicobacteraceae,0.5664951
64,Bradyrhizobium,0.56542045
65,Mycobacterium,0.5520882
66,Saprolegnia,0.5351104
67,Alistipes shahii,0.5288437
68,Capnocytophaga leadbetteri,0.52704513
69,Finegoldia,0.52374166
70,Gordonibacter pamelaeae,0.5213582
71,Christensenella minuta,0.5024558
72,Roseburia inulinivorans,0.49790052
73,Wolbachia,0.49607387
74,Phocaeicola coprophilus,0.4853586
75,Streptococcus infantis,0.48216206
76,Intestinimonas butyriciproducens,0.48195422
77,Exiguobacterium,0.47416732
78,Enterococcus faecium,0.47061393
79,Barnesiella,0.47024482
80,Bacteroides ovatus,0.4611636
81,Photobacterium,0.46104196
82,Cupriavidus,0.45769724
83,Lupinus,0.45675337
84,Acholeplasmatales,0.45631292
85,Phyllobacteriaceae,0.45310977
86,Porphyromonas sp.,0.43542293
87,Hydrogenoanaerobacterium,0.432914
88,Alkaliphilus,0.4318333
89,Streptococcus sp.,0.42816123
90,Pseudothermotoga,0.4131521
91,Bacillus megaterium,0.40713856
92,Coprococcus comes,0.40546048
93,Johnsonella,0.40316856
94,Candidatus Arthromitus,0.38562456
95,unclassified Lactobacillales,0.38224578
96,Intestinibacter,0.38211694
97,Coprococcus eutactus,0.38201284
98,Megasphaera micronuciformis,0.37399155
99,Candidatus Soleaferrea,0.37292698
100,Vibrio,0.36980477
101,Holdemanella biformis,0.36793822
102,Erysipelatoclostridium ramosum,0.36314836
103,Streptococcus sobrinus,0.35720405
104,Aggregatibacter actinomycetemcomitans,0.3516228
105,Ferrimonas,0.35153657
106,Streptococcus intermedius,0.34696844
107,Corynebacteriales,0.34113395
108,Shigella,0.32898232
109,Amedibacillus dolichus,0.3052625
110,Gardnerella vaginalis,0.30054966
111,Hydrogenophaga,0.29584342
112,Epulopiscium,0.29544058
113,Ferrimonadaceae,0.29131
114,Enhydrobacter aerosaccus,0.28935665
115,Staphylococcus aureus,0.28488508
116,Blastomonas,0.28423083
117,Scardovia,0.28188068
118,Bifidobacterium bifidum,0.2731189
119,Methanobacteriaceae,0.26836786
120,Streptococcus pneumoniae,0.26214835
121,Bacteroides helcogenes,0.25174117
122,Porphyromonas gingivalis,0.2513521
123,Reoviridae,0.25060043
124,Actinomyces oris,0.24248405
125,Enterocloster bolteae,0.23661382
126,Subdoligranulum variabile,0.23336008
127,Lactobacillus rhamnosus,0.2283145
128,Faecalicoccus,0.22166124
129,[Clostridium] leptum,0.21404035
130,Herpesviridae,0.20980492
131,[Ruminococcus] lactaris,0.20978993
132,Sutterellaceae,0.20799111
133,Lactobacillus fornicalis,0.19616413
134,Actinomyces graevenitzii,0.19506142
135,Romboutsia,0.19275184
136,Eisenbergiella,0.18526684
137,Hallella,0.17924203
138,Chryseobacterium sp.,0.17230567
139,Phocaeicola dorei,0.16993824
140,Parasporobacterium,0.1660627
141,Veillonella dispar,0.16244812
142,Leucobacter,0.1619575
143,Collinsella stercoris,0.1587515
144,unclassified Rikenellaceae,0.15367045
145,Euryarchaeota,0.14892071
