,0,1
0,Prevotella scopos,0.99940276
1,Actinomyces sp. oral taxon 877,0.999345
2,Bacteroides-like sp. oral clone AU126,0.99930406
3,Thermales,0.9988814
4,Sporosarcina,0.9988281
5,Thermaerobacter,0.9988003
6,Eubacterium ramulus,0.998789
7,Oribacterium sp. oral taxon 108,0.9987741
8,Arthrobacter,0.998738
9,Anaerotignum lactatifermentans,0.9986872
10,Shigella boydii,0.99864405
11,Blautia sp.,0.9986292
12,Porphyromonas bennonis,0.99858105
13,Shigella flexneri,0.99851304
14,Entylomataceae,0.99850804
15,Tremellales,0.998453
16,Eggerthellaceae bacterium AT8,0.99836224
17,Streptococcus gallolyticus subsp. gallolyticus,0.9983413
18,Ruminococcus bicirculans,0.99834085
19,Neisseria mucosa,0.99832743
20,Paludibacter,0.9983176
21,Saccharomycetales sp.,0.99830085
22,Trichosporonales,0.9982723
23,Candida tropicalis,0.9982535
24,Faecalitalea cylindroides,0.99824417
25,Chloracidobacterium,0.9982383
26,Shigella dysenteriae,0.99823666
27,Ruminococcus sp.,0.998218
28,Oscillibacter sp. KLE 1745,0.9982029
29,Oscillospiraceae,0.99819916
30,Veillonella atypica,0.9981912
31,Naganishia,0.99814343
32,Coriobacteriaceae bacterium 68-1-3,0.99810946
33,Sphingomonas paucimobilis,0.9981027
34,Leptotrichia sp. oral taxon 221,0.9980956
35,Leptotrichia sp. oral taxon 212,0.99807763
36,Psathyrella artemisiae,0.99807596
37,Olsenella sp. oral taxon 809,0.9980617
38,Helicobacter canadensis,0.9980539
39,Eggerthella sp. YY7918,0.99803954
40,Bacteroides zoogleoformans,0.9980331
41,Blautia sp. KLE 1732,0.99800855
42,Bulleribasidiaceae,0.99800116
43,Leptosphaeriaceae,0.9979843
44,Opitutales,0.9979753
45,Saccharomyces,0.99797255
46,Trueperaceae,0.99796104
47,Bifidobacterium pseudocatenulatum,0.99795854
48,Polaromonas,0.99795806
49,Monilinia,0.997957
50,Staphylococcus epidermidis,0.99793625
51,Actinobaculum,0.99792105
52,Slackia piriformis,0.99791783
53,Bacteroides pyogenes,0.9978853
54,Hymenochaete,0.9978619
55,Clostridiales Family XIII. Incertae Sedis,0.99781406
56,Slackia heliotrinireducens,0.99780947
57,Treponema putidum,0.9977969
58,Oenococcus oeni,0.9977718
59,Faecalibacterium sp.,0.9977604
60,Prevotella bryantii,0.99775666
61,Trichosporonaceae,0.9977531
62,Enterorhabdus caecimuris,0.99774444
63,Hungatella xylanolytica,0.9977319
64,Enterocloster lavalensis,0.9976985
65,Clostridium methylpentosum,0.9976978
66,Pigmentiphaga,0.99769336
67,Clostridium phoceensis,0.99767417
68,Peptococcus sp.,0.99764746
69,TM7 phylum sp. oral taxon 352,0.99763966
70,Novispirillum,0.9976127
71,Enterocloster citroniae,0.99761057
72,Alicyclobacillus,0.9975885
73,Enterocloster asparagiformis,0.9975804
74,Bacteroides galacturonicus,0.9975647
75,Xylariales,0.99755645
76,Methylotenera,0.9975556
77,[Eubacterium] sulci,0.9975242
78,Cortinariaceae,0.99750936
79,Blautia faecis,0.99748814
80,Saccharomycetaceae,0.99747473
81,Streptococcus sp. VT 162,0.9974688
82,[Candida] glabrata,0.9974583
83,Agaricales,0.99741495
84,Novosphingobium aromaticivorans,0.99740005
85,Asaccharobacter,0.9973922
86,Bacillus coagulans,0.99737287
87,Kingella sp. oral taxon 459,0.99737036
88,Mogibacterium sp.,0.99737024
89,Filobasidiaceae,0.99734986
90,Enorma,0.9973362
91,Gallionellaceae,0.99732363
92,Psychrobacter pulmonis,0.99731183
93,Enorma massiliensis,0.9973028
94,Pelomonas,0.99727863
95,Actinobaculum massiliense,0.9972779
96,Turicibacter sp.,0.99726665
97,Agaricomycetes,0.99726295
98,Stenotrophomonas sp.,0.9972516
99,Malassezia sympodialis,0.9972307
100,Anaerostipes caccae,0.99720144
101,Selenomonas sp.,0.9971951
102,Anaeromassilibacillus senegalensis,0.9971726
103,Myoviridae,0.9971085
104,Cladosporium,0.9971084
105,Centrocestus,0.9970643
106,Alistipes finegoldii,0.9970379
107,Marinobacter,0.99696344
108,Streptococcus sp. oral clone DP009,0.9969584
109,Bacteroides sp. 3_1_40A,0.99695396
110,Streptococcus thermophilus,0.9969482
111,Bordetella,0.99693763
112,Psathyrella,0.9969236
113,Clostridium sporosphaeroides,0.9969104
114,Clostridium disporicum,0.9968777
115,Holdemania massiliensis,0.99686414
116,Faecalicatena fissicatena,0.99685353
117,Polyomaviridae,0.9968346
118,Pleistophora,0.9968136
119,Prosthodendrium,0.99678326
120,Hymenolepis,0.996768
121,uncultured Selenomonas sp.,0.9967572
122,Metschnikowiaceae,0.99670744
123,Modestobacter,0.9967044
124,Phycicoccus,0.99668556
125,Lachnospiraceae bacterium TF01-11,0.9966029
126,Dioszegia,0.9965753
127,uncultured Corynebacteriaceae bacterium,0.99653673
128,Poxviridae,0.9965205
129,Shigella sp. PAMC 28760,0.99642426
130,Gemella sp.,0.9964161
131,Leptotrichia sp. oral taxon 218,0.99639964
132,uncultured Spirochaeta sp.,0.9963889
133,uncultured Veillonellaceae bacterium,0.99637705
134,Shigella sonnei,0.9962986
135,Saccharomycetales,0.99629277
136,Trichinella,0.9962753
137,Cystofilobasidiaceae,0.9962709
138,Eubacterium oxidoreducens,0.99624795
139,Entyloma,0.99624074
140,Clostridium sp. ATCC 29733,0.99622643
141,Porphyromonas catoniae,0.99618465
142,Methyloversatilis discipulorum,0.9961825
143,Sinobacteraceae,0.9961649
144,Eubacterium sp.,0.9961533
145,Simonsiella muelleri,0.9961527
146,Orthomyxoviridae,0.9961182
147,Syntrophus,0.9960896
148,Lachnospiraceae bacterium A2,0.99608743
149,Actinomyces sp. oral taxon 170,0.996086
150,Microbispora,0.99606675
151,Clostridium butyricum,0.99606484
152,Blautia luti,0.9960503
153,Sulfuritalea,0.99603254
154,Weissella viridescens,0.9960192
155,Lachnospiraceae bacterium 3_1_57FAA_CT1,0.99600166
156,Holophagae,0.99597895
157,Saccharomycodaceae,0.9959765
158,Prevotella sp. oral taxon 309,0.9959519
159,Filobasidium uniguttulatum,0.9959317
160,Escherichia albertii,0.9959174
161,Jonquetella anthropi,0.99589866
162,Eubacterium infirmum F0142,0.9958974
163,Bifidobacterium angulatum,0.9958656
164,Pneumocystis,0.9958502
165,Arcanobacterium,0.99582833
166,Filobasidiales,0.9957557
167,Megamonas rupellensis,0.9956944
168,Collinsella tanakaei,0.9956552
169,Bacteroides cellulosilyticus,0.9956457
170,Enterobacteriaceae bacterium,0.9956404
171,uncultured Prevotellaceae bacterium,0.99563867
172,Glutamicibacter,0.9956202
173,Hanseniaspora,0.9955754
174,uncultured Succinivibrionaceae bacterium,0.9955616
175,Capnocytophaga gingivalis,0.9955295
176,Veillonella sp. oral taxon 158,0.9954841
177,Holophagales,0.99548316
178,Edwardsiella,0.9954074
179,Filobasidium,0.99537873
180,Pleosporales,0.9953784
181,Hungatella hathewayi,0.99535465
182,Paucibacter,0.9952887
183,Acetivibrio ethanolgignens,0.99525
184,Mimivirus,0.99521685
185,Kaistia,0.99521446
186,Staphylococcus pasteuri,0.99517524
187,Coprobacter,0.99511355
188,Gymnopilus,0.99509746
189,Lederbergvirus,0.9950559
190,Holdemania filiformis,0.9950506
191,Abiotrophia defectiva,0.9950465
192,Deinococcus,0.99504423
193,Alcaligenes,0.99499005
194,Silene,0.99498665
195,Streptococcus constellatus,0.9949863
196,Holophagaceae,0.9948797
197,Phialophora,0.99474144
198,Lambdavirus,0.99472445
199,Geotrichum,0.9947062
200,Psathyrellaceae,0.9946826
201,Lysurus,0.9946707
202,Staphylococcus auricularis,0.99467033
203,Acetivibrio,0.99464536
204,Agrococcus,0.99458176
