,0,1
0,Entylomataceae,0.9999288
1,Fluviicola,0.99992424
2,[Candida] glabrata,0.99991006
3,Bacteroides pyogenes,0.99990994
4,Trichosporonales,0.9998991
5,Eubacterium ramulus,0.9998951
6,Escherichia albertii,0.9998921
7,Shigella boydii,0.99989015
8,Pelomonas,0.99987215
9,Bacteroides-like sp. oral clone AU126,0.9998716
10,Shigella dysenteriae,0.9998705
11,Thermaerobacter,0.99986166
12,Shigella flexneri,0.99985313
13,Weissella viridescens,0.999853
14,Holophagae,0.99985296
15,Oenococcus oeni,0.9998511
16,Psathyrellaceae,0.99983764
17,Entylomatales,0.99983764
18,Hymenochaete,0.9998319
19,Anaerotignum lactatifermentans,0.9998306
20,Actinobaculum massiliense,0.9998247
21,Metschnikowiaceae,0.99982065
22,Prevotella scopos,0.99980736
23,Shigella sp. PAMC 28760,0.9998014
24,Actinomyces sp. oral taxon 877,0.9997987
25,Exobasidiomycetes,0.9997945
26,Sphingomonas paucimobilis,0.9997927
27,Simonsiella,0.9997741
28,Veillonella sp. oral taxon 158,0.9997735
29,Megamonas funiformis,0.9997706
30,Paucibacter,0.99976736
31,Propionicimonas,0.9997658
32,Syntrophus,0.99976176
33,Truepera,0.9997613
34,Arthrobacter,0.9997595
35,Opitutales,0.9997531
36,Enterocloster citroniae,0.9997529
37,Cortinariaceae,0.9997514
38,Listeria sp.,0.9997427
39,Shigella sonnei,0.99974126
40,Novispirillum,0.999726
41,Bergeyella zoohelcum,0.9997233
42,Abiotrophia defectiva,0.9997208
43,Actinobaculum,0.9997071
44,Actinotalea,0.999696
45,Alicyclobacillus,0.9996946
46,Lutispora,0.99968994
47,Megamonas rupellensis,0.9996811
48,Escherichia fergusonii,0.99965596
49,Silene,0.9996554
50,Sporosarcina,0.99964774
51,Agrococcus,0.99964386
52,Psathyrella,0.9996427
53,Psathyrella artemisiae,0.9996403
54,Cellulomonadaceae,0.99963987
55,Dioszegia,0.9996343
56,Trichosporonaceae,0.99963045
57,Balneimonas,0.99962777
58,Neobacillus fumarioli,0.99958664
59,Conexibacteraceae,0.99958295
60,Bacteroides clarus,0.9995829
61,Porphyromonas bennonis,0.999577
62,Pelagibacterium,0.99957687
63,Modestobacter,0.99957615
64,Blautia sp.,0.9995581
65,Streptococcus sp. VT 162,0.9995569
66,Arcanobacterium,0.9995404
67,Peptococcus sp.,0.9995378
68,Centrocestus,0.9995373
69,Hungatella hathewayi,0.99952185
70,Hymenolepis,0.9995039
71,Thermales,0.9994998
72,Staphylococcus auricularis,0.99949706
73,Thermaceae,0.9994943
74,Glutamicibacter,0.9994934
75,Gemella sp.,0.9994805
76,Pucciniomycetes,0.9994719
77,Absidia,0.9994625
78,Staphylococcus epidermidis,0.9994596
79,Pseudomonas putida,0.99944687
80,Gymnopilus,0.9994281
81,Pleistophora,0.9994219
82,Holophagaceae,0.9994077
83,Prosthodendrium,0.99940664
84,uncultured Corynebacteriaceae bacterium,0.9993996
85,Xylariales,0.99939936
86,Leptotrichia sp. oral taxon 212,0.9993977
87,Streptococcus constellatus,0.9993937
88,Myoviridae,0.9993876
89,Jonquetella anthropi,0.99938345
90,Geotrichum,0.9993793
91,Pneumocystis,0.9993672
92,Treponema amylovorum,0.9993666
93,Capnocytophaga gingivalis,0.99935627
94,Edwardsiella,0.9993342
95,Fonsecaea,0.999334
96,Spirochaeta,0.9993267
97,Alcaligenes,0.9993172
98,Bordetella,0.9993134
99,Alistipes onderdonkii,0.99930125
100,Marinobacter,0.9992969
101,Actinobacillus porcinus,0.9992917
102,Phialophora,0.9992839
103,uncultured Prevotellaceae bacterium,0.99928325
104,Opitutaceae,0.999272
105,Cladosporium,0.9992709
106,Orthomyxoviridae,0.99926513
107,Trichinella,0.9992645
108,Poxviridae,0.9992633
109,Leptotrichia sp. oral taxon 221,0.99926126
110,Nocardioidaceae,0.99924874
111,uncultured Veillonellaceae bacterium,0.99924815
112,Herbaspirillum,0.99924576
113,Cladophialophora,0.9992437
114,Contracaecum,0.99924153
115,Atopobium sp.,0.99923617
116,uncultured Selenomonas sp.,0.99923515
117,Oribacterium sp. oral taxon 108,0.99923366
118,Lachnospiraceae bacterium 2_1_46FAA,0.9992318
119,Human orthopneumovirus,0.9992251
120,Trueperaceae,0.9992147
121,uncultured Spirochaeta sp.,0.9992136
122,Chloracidobacterium,0.99919266
