,0,1,2
0,Bordetella,0.9999608,Increased
1,uncultured Selenomonas sp.,0.99995905,Increased
2,Cladosporium,0.99995506,Increased
3,Spirochaeta,0.9999543,Increased
4,Pleistophora,0.99994475,Increased
5,Orthomyxoviridae,0.9999447,Increased
6,Edwardsiella,0.9999445,Increased
7,Geotrichum,0.9999443,Increased
8,Hymenolepis,0.99994105,Increased
9,Poxviridae,0.9999404,Increased
10,uncultured Succinivibrionaceae bacterium,0.9999393,Increased
11,Arcanobacterium,0.999939,Increased
12,uncultured Corynebacteriaceae bacterium,0.99993783,Increased
13,uncultured Spirochaeta sp.,0.99993724,Increased
14,Frateuria,0.9999366,Increased
15,Capnocytophaga gingivalis,0.99993587,Increased
16,Peptococcus sp.,0.9999347,Increased
17,Dipylidium,0.9999327,Increased
18,Prosthodendrium,0.9999315,Increased
19,Polyomaviridae,0.9999301,Increased
20,Cladophialophora,0.9999293,Increased
21,Trichinella,0.9999281,Increased
22,Centrocestus,0.99992746,Increased
23,uncultured Veillonellaceae bacterium,0.9999269,Increased
24,uncultured Prevotellaceae bacterium,0.9999263,Increased
25,Streptococcus constellatus,0.9999262,Increased
26,Porphyromonas catoniae,0.99992543,Increased
27,Absidia,0.9999241,Increased
28,Contracaecum,0.99992406,Increased
29,Alcaligenes,0.99991983,Increased
30,Toxocara,0.99991804,Increased
31,Phialophora,0.999917,Increased
32,Fonsecaea,0.99991566,Increased
33,Pneumocystis,0.99990726,Increased
34,Marasmiaceae,0.9998673,Increased
35,Victivallaceae,0.9998588,Increased
36,Candidatus Regiella insecticola,0.99985605,Increased
37,Anaerolineae,0.9998553,Increased
38,Phaeobacter,0.9998251,Increased
39,Metarhizium acridum,0.99982214,Increased
40,Cetobacterium somerae,0.99981153,Increased
41,Tannerella forsythia,0.999808,Increased
42,Neisseria oralis,0.9998039,Increased
43,Fusobacterium gonidiaformans,0.9997963,Increased
44,Treponema socranskii,0.9997874,Increased
45,Blautia sp.,0.99978656,Increased
46,Lactobacillus johnsonii,0.9997679,Increased
47,Prevotella sp. oral taxon 300,0.9997672,Increased
48,Selenomonas noxia,0.9997661,Increased
49,Cardiobacteriales,0.99976116,Increased
50,Syntrophus,0.99974495,Increased
51,Piscirickettsiaceae,0.99974364,Increased
52,Succiniclasticum,0.9997398,Increased
53,Fusobacterium nucleatum subsp. animalis,0.9997372,Increased
54,Victivallales,0.99973667,Increased
55,Peptoniphilaceae,0.9997364,Increased
56,Aspergillus ochraceoroseus,0.9997338,Increased
57,Talaromyces islandicus,0.9997332,Increased
58,Treponema lecithinolyticum,0.9997274,Increased
59,Prevotella sp. oral taxon 304,0.99972403,Increased
60,Lactobacillus sanfranciscensis,0.9997222,Increased
61,Candidatus Regiella,0.9997203,Increased
62,Pisolithaceae,0.9997171,Increased
63,Rhodotorula graminis,0.99971515,Increased
64,Pisolithus,0.999707,Increased
65,Aspergillus flavus,0.99969965,Increased
66,Leptothrix,0.99969417,Increased
67,Holophagae,0.99969244,Increased
68,Centipeda periodontii,0.99968684,Increased
69,Fusobacterium naviforme,0.9996848,Increased
70,Colletotrichum higginsianum,0.9996846,Increased
71,Pseudeurotiaceae,0.999678,Increased
72,Fusobacterium nucleatum subsp. nucleatum,0.9996709,Increased
73,Capnocytophaga sputigena,0.9996693,Increased
74,Lachnospira pectinoschiza,0.999667,Increased
75,Streptococcus alactolyticus,0.99966675,Increased
