,0,1
0,Epsilonproteobacteria,0.997308
1,Oceanospirillales,0.987705
2,Prevotella nanceiensis,0.97951597
3,Fusobacterium varium,0.9622752
4,Tissierellaceae,0.9591592
5,Schwartzia,0.9573122
6,Bacillaceae,0.9516502
7,Bifidobacterium bifidum,0.9412141
8,Bradyrhizobium,0.94036156
9,Streptococcus parasanguinis,0.9316223
10,Corynebacteriales,0.9280459
11,Raoultella,0.92508584
12,Acidobacteria,0.92490965
13,Corynebacteriaceae,0.8859559
14,Filifactor,0.88107866
15,Streptococcus sp.,0.87913585
16,Cupriavidus,0.878098
17,Negativicutes,0.8758087
18,Sphingomonas azotifigens,0.8601456
19,Brevibacillus,0.8512539
20,Catonella,0.82377654
21,Methylobacterium radiotolerans,0.8180462
22,Synergistetes,0.81654
23,Enterobacter,0.8142121
24,Spirochaetia,0.80330807
25,Shuttleworthia,0.79457253
26,Cloacibacterium,0.7821721
27,Campylobacter concisus,0.77614
28,Pseudomonas aeruginosa,0.7693061
29,Salmonella,0.74597245
30,Weissella,0.741646
31,Phocaeicola massiliensis,0.7287144
32,Xanthomonadales,0.70543545
33,Streptococcus infantis,0.7037659
34,Klebsiella pneumoniae,0.701197
35,Atopobium,0.6943887
36,Actinomyces oris,0.67266494
37,Anaerorhabdus,0.6715405
38,Howardella,0.67073417
39,Lachnoclostridium,0.6459637
40,Bergeyella,0.6444317
41,Halomonadaceae,0.6434362
42,Propionibacteriaceae,0.6342206
43,Leptotrichiaceae,0.6299001
44,Capnocytophaga leadbetteri,0.6284308
45,Fusobacterium periodonticum,0.6197024
46,Hydrogenoanaerobacterium,0.6149701
47,Lentisphaeria,0.6058865
48,Comamonas,0.6051869
49,Pandoraea,0.58690876
50,Facklamia,0.57852435
51,Micrococcus,0.5774859
52,Prevotella intermedia,0.572484
53,Phenylobacterium,0.5627793
54,Porphyromonas sp.,0.5364092
55,Podoviridae,0.5322927
56,Acholeplasmataceae,0.5321158
57,Actinomyces viscosus,0.53074753
58,Orthopneumovirus,0.5161072
59,Porphyromonas endodontalis,0.5154513
60,Anaeroglobus,0.5151033
61,Lactobacillus salivarius,0.5042141
62,Guignardia,0.5039031
63,Akkermansiaceae,0.5023549
64,Halomonas,0.4859035
65,Aneurinibacillus,0.485189
66,Odoribacter splanchnicus,0.48330045
67,Candidatus Soleaferrea,0.47886065
68,unclassified Lactobacillales,0.4646811
69,Schlegelella,0.4563044
70,Deinococci,0.4558172
71,Sinsheimervirus,0.44610706
72,Moraxella,0.44421598
73,[Clostridium] symbiosum,0.43368712
74,Mobiluncus,0.4334894
75,Phyllobacteriaceae,0.4329241
76,Tequatrovirus,0.4309505
77,Punavirus,0.43072486
78,Thaumarchaeota,0.4237333
79,Paenibacillaceae,0.41697899
80,Leptotrichia,0.41580862
81,Granulicatella adiacens,0.41047624
82,Blastomonas,0.4068713
83,Gemmiger formicilis,0.39490098
84,Providencia,0.390835
85,Oceanospirillaceae,0.37552822
86,Chrysochromulina ericina virus,0.3755142
87,Lactobacillus rhamnosus,0.37305295
88,Lancefieldella parvula,0.36831096
89,Human orthopneumovirus,0.3659726
90,Hydrogenophaga,0.36465016
91,Microviridae,0.36047363
92,Prevotella oris,0.36033946
93,Prevotella sp. oral clone DO039,0.35898045
94,Kingella,0.3566373
95,Actinomyces graevenitzii,0.354058
96,Solobacterium moorei,0.35104254
97,Peptostreptococcus stomatis,0.35028133
