,0,1
0,uncultured Selenomonas sp.,0.99989235
1,Bordetella,0.99988914
2,Orthomyxoviridae,0.99986565
3,Poxviridae,0.9998627
4,Cladosporium,0.99985945
5,Polyomaviridae,0.9998429
6,Geotrichum,0.9998398
7,Spirochaeta,0.9998342
8,uncultured Succinivibrionaceae bacterium,0.999833
9,Hymenolepis,0.9998222
10,Edwardsiella,0.99981743
11,Toxocara,0.9998073
12,Pleistophora,0.9998072
13,Arcanobacterium,0.9998055
14,uncultured Veillonellaceae bacterium,0.9998047
15,Centrocestus,0.99980325
16,uncultured Corynebacteriaceae bacterium,0.9998005
17,Dipylidium,0.99978083
18,uncultured Spirochaeta sp.,0.999772
19,Frateuria,0.9997675
20,Capnocytophaga gingivalis,0.99976295
21,Trichinella,0.99975413
22,uncultured Prevotellaceae bacterium,0.99975294
23,Alcaligenes,0.99974436
24,Contracaecum,0.9997415
25,Porphyromonas catoniae,0.9997348
26,Streptococcus constellatus,0.9997317
27,Phialophora,0.99973017
28,Peptococcus sp.,0.9997272
29,Pneumocystis,0.9997197
30,Cladophialophora,0.9997029
31,Absidia,0.99968016
32,Fonsecaea,0.9996495
33,Prosthodendrium,0.99964464
34,Lachnospira pectinoschiza,0.9994518
35,Calditrichaceae,0.99944407
36,Blautia sp.,0.99943465
37,Marasmiaceae,0.99938905
38,Azohydromonas,0.99937063
39,Spiroplasmataceae,0.9993616
40,Candidatus Regiella insecticola,0.9993487
41,Exophiala mesophila,0.99933857
42,Thermoanaerobacterales Family IV. Incertae Sedis,0.99932325
43,Aspergillus flavus,0.9992914
44,Anaerolineae,0.9992823
45,Thermales,0.99925417
46,Proteobacteria bacterium CAG:139,0.9992494
47,Lipomycetaceae,0.9992489
48,Tannerella forsythia,0.9992399
49,Fusobacterium nucleatum subsp. nucleatum,0.9992391
50,Lachnospira multipara,0.99923396
51,Saprospiria,0.99920386
52,Cardiobacteriales,0.9991698
53,Pseudeurotiaceae,0.99916005
54,Actinomyces radicidentis,0.99915147
55,Cetobacterium somerae,0.9991417
56,Holophagales,0.9991392
57,Parabacteroides gordonii,0.9991365
58,Pisolithus,0.9990988
59,Kalmanozyma brasiliensis,0.99909794
60,Acremonium chrysogenum,0.99909616
61,Clostridia bacterium UC5.1-2D9,0.99907184
62,Victivallales,0.9990633
63,Succiniclasticum,0.9990552
64,Aphanothecaceae,0.99904996
65,Aspergillus versicolor,0.99902844
66,Aspergillus rambellii,0.99902356
67,Chloracidobacterium,0.99901986
68,Fusobacterium nucleatum subsp. animalis,0.9990036
69,Syntrophus,0.99899775
