,0,1
0,Bordetella,0.9999608
1,uncultured Selenomonas sp.,0.99995905
2,Cladosporium,0.99995506
3,Spirochaeta,0.9999543
4,Pleistophora,0.99994475
5,Orthomyxoviridae,0.9999447
6,Edwardsiella,0.9999445
7,Geotrichum,0.9999443
8,Hymenolepis,0.99994105
9,Poxviridae,0.9999404
10,uncultured Succinivibrionaceae bacterium,0.9999393
11,Arcanobacterium,0.999939
12,uncultured Corynebacteriaceae bacterium,0.99993783
13,uncultured Spirochaeta sp.,0.99993724
14,Frateuria,0.9999366
15,Capnocytophaga gingivalis,0.99993587
16,Peptococcus sp.,0.9999347
17,Dipylidium,0.9999327
18,Prosthodendrium,0.9999315
19,Polyomaviridae,0.9999301
20,Cladophialophora,0.9999293
21,Trichinella,0.9999281
22,Centrocestus,0.99992746
23,uncultured Veillonellaceae bacterium,0.9999269
24,uncultured Prevotellaceae bacterium,0.9999263
25,Streptococcus constellatus,0.9999262
26,Porphyromonas catoniae,0.99992543
27,Absidia,0.9999241
28,Contracaecum,0.99992406
29,Alcaligenes,0.99991983
30,Toxocara,0.99991804
31,Phialophora,0.999917
32,Fonsecaea,0.99991566
33,Pneumocystis,0.99990726
34,Marasmiaceae,0.9998673
35,Victivallaceae,0.9998588
36,Candidatus Regiella insecticola,0.99985605
37,Anaerolineae,0.9998553
38,Phaeobacter,0.9998251
39,Metarhizium acridum,0.99982214
40,Cetobacterium somerae,0.99981153
41,Tannerella forsythia,0.999808
42,Neisseria oralis,0.9998039
43,Fusobacterium gonidiaformans,0.9997963
44,Treponema socranskii,0.9997874
45,Blautia sp.,0.99978656
46,Lactobacillus johnsonii,0.9997679
47,Prevotella sp. oral taxon 300,0.9997672
48,Selenomonas noxia,0.9997661
49,Cardiobacteriales,0.99976116
50,Syntrophus,0.99974495
51,Piscirickettsiaceae,0.99974364
52,Succiniclasticum,0.9997398
53,Fusobacterium nucleatum subsp. animalis,0.9997372
54,Victivallales,0.99973667
55,Peptoniphilaceae,0.9997364
56,Aspergillus ochraceoroseus,0.9997338
57,Talaromyces islandicus,0.9997332
58,Treponema lecithinolyticum,0.9997274
59,Prevotella sp. oral taxon 304,0.99972403
60,Lactobacillus sanfranciscensis,0.9997222
61,Candidatus Regiella,0.9997203
62,Pisolithaceae,0.9997171
63,Rhodotorula graminis,0.99971515
64,Pisolithus,0.999707
65,Aspergillus flavus,0.99969965
66,Leptothrix,0.99969417
67,Holophagae,0.99969244
68,Centipeda periodontii,0.99968684
69,Fusobacterium naviforme,0.9996848
70,Colletotrichum higginsianum,0.9996846
71,Pseudeurotiaceae,0.999678
72,Fusobacterium nucleatum subsp. nucleatum,0.9996709
73,Capnocytophaga sputigena,0.9996693
74,Lachnospira pectinoschiza,0.999667
75,Streptococcus alactolyticus,0.99966675
76,Firmicutes bacterium CAG:102,0.999665
77,Debaryomyces fabryi,0.99966437
78,Streptococcus lutetiensis,0.99966425
79,Thermales,0.9996642
80,Firmicutes bacterium CAG:240,0.99966294
81,Tyzzerella,0.99966294
82,Acremonium chrysogenum,0.99966013
83,Spiroplasmataceae,0.99965894
84,Moniliophthora perniciosa,0.9996513
85,Desulfobacterales,0.9996456
86,Campylobacter curvus,0.9996453
87,Azohydromonas,0.99964386
88,Proteobacteria bacterium CAG:139,0.99964345
89,Schaalia cardiffensis,0.99964285
90,Kwoniella mangrovensis,0.9996345
91,Grosmannia clavigera,0.99963385
92,Pirellulaceae,0.99963045
93,Neurospora crassa,0.99962956
94,Atopobium minutum,0.9996268
95,Citrobacter farmeri,0.9996221
96,Lipomycetaceae,0.9996219
97,Clostridia bacterium UC5.1-2D9,0.9996182
98,Treponema sp. oral taxon 250,0.9996177
99,Truepera,0.9996143
100,Actinomyces radicidentis,0.9996139
101,Chaetomiaceae,0.99961215
102,Erysiphe necator,0.9996115
103,Agrococcus,0.99960893
104,Desulfovibrio vietnamensis,0.9996083
105,Clostridium hylemonae,0.9996075
106,Exophiala mesophila,0.9995969
107,Rhodotorula sp. JG-1b,0.9995961
108,Aspergillus rambellii,0.99959505
109,Trueperaceae,0.99958134
110,Crepidotus,0.9995762
111,Anoxybacillus kestanbolensis,0.9995748
112,Actinotalea,0.9995746
113,Parastagonospora nodorum,0.9995731
114,Modestobacter,0.9995725
115,Ophiostoma piceae,0.9995724
116,Thermoanaerobacterales Family IV. Incertae Sedis,0.9995693
117,Prochlorococcus,0.99956805
118,Malasseziomycetes,0.9995635
119,Salmonella enterica,0.9995553
120,Staphylococcus sciuri,0.99955505
121,Prevotella buccalis,0.9995547
122,Porphyromonas asaccharolytica,0.99955183
123,Malasseziaceae,0.9995515
124,Fusobacterium nucleatum subsp. polymorphum,0.9995397
125,Planctomyces,0.9995397
126,Phascolarctobacterium succinatutens,0.9995338
127,Calditrichaceae,0.99953306
128,Aphanothecaceae,0.99952596
129,Plesiomonas shigelloides,0.9995249
130,Fretibacterium fastidiosum,0.9995193
131,Nocardioidaceae,0.9995083
132,Geobacteraceae,0.99950707
133,Desulfovibrio longreachensis,0.99950695
134,Chloracidobacterium,0.9995013
135,Pseudogymnoascus sp. VKM F-4518 (FW-2643),0.99949694
136,Sporosarcina,0.9994959
137,Blumeria graminis,0.9994951
138,Parabacteroides gordonii,0.9994924
139,Thermaceae,0.99948597
140,Lachnoanaerobaculum umeaense,0.99948335
141,Candidatus Tremblaya,0.9994817
142,Holophagales,0.9994783
143,Propionicimonas,0.9994771
144,Lactobacillus iners,0.9994739
145,Fusobacterium nucleatum subsp. vincentii,0.99946356
146,Phycicoccus,0.9994633
147,Pseudogymnoascus sp. VKM F-4520 (FW-2644),0.9994544
